ix;iy;n_muestras;area_m2;densidad;centroid_lat;centroid_lon;minx;miny;maxx;maxy
40,000000;96,000000;1,000000;10000,000000;0,000100;6,166901;-75,613731;432048,364560;681643,270389;432148,364560;681743,270389
40,000000;97,000000;4,000000;10000,000000;0,000400;6,167805;-75,613732;432048,364560;681743,270389;432148,364560;681843,270389
40,000000;99,000000;1,000000;10000,000000;0,000100;6,169615;-75,613734;432048,364560;681943,270389;432148,364560;682043,270389
40,000000;101,000000;2,000000;10000,000000;0,000200;6,171424;-75,613737;432048,364560;682143,270389;432148,364560;682243,270389
40,000000;102,000000;1,000000;10000,000000;0,000100;6,172328;-75,613738;432048,364560;682243,270389;432148,364560;682343,270389
40,000000;104,000000;5,000000;10000,000000;0,000500;6,174137;-75,613740;432048,364560;682443,270389;432148,364560;682543,270389
40,000000;105,000000;2,000000;10000,000000;0,000200;6,175042;-75,613741;432048,364560;682543,270389;432148,364560;682643,270389
40,000000;115,000000;1,000000;10000,000000;0,000100;6,184088;-75,613751;432048,364560;683543,270389;432148,364560;683643,270389
40,000000;167,000000;5,000000;10000,000000;0,000500;6,231126;-75,613806;432048,364560;688743,270389;432148,364560;688843,270389
40,000000;168,000000;5,000000;10000,000000;0,000500;6,232030;-75,613807;432048,364560;688843,270389;432148,364560;688943,270389
40,000000;169,000000;14,000000;10000,000000;0,001400;6,232935;-75,613808;432048,364560;688943,270389;432148,364560;689043,270389
40,000000;170,000000;11,000000;10000,000000;0,001100;6,233839;-75,613809;432048,364560;689043,270389;432148,364560;689143,270389
41,000000;96,000000;1,000000;10000,000000;0,000100;6,166902;-75,612828;432148,364560;681643,270389;432248,364560;681743,270389
41,000000;97,000000;1,000000;10000,000000;0,000100;6,167806;-75,612829;432148,364560;681743,270389;432248,364560;681843,270389
41,000000;98,000000;1,000000;10000,000000;0,000100;6,168711;-75,612830;432148,364560;681843,270389;432248,364560;681943,270389
41,000000;103,000000;2,000000;10000,000000;0,000200;6,173234;-75,612835;432148,364560;682343,270389;432248,364560;682443,270389
41,000000;105,000000;3,000000;10000,000000;0,000300;6,175043;-75,612837;432148,364560;682543,270389;432248,364560;682643,270389
41,000000;106,000000;1,000000;10000,000000;0,000100;6,175948;-75,612838;432148,364560;682643,270389;432248,364560;682743,270389
41,000000;115,000000;2,000000;10000,000000;0,000200;6,184089;-75,612847;432148,364560;683543,270389;432248,364560;683643,270389
